time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume,MEXC:open,MEXC:high,MEXC:low,MEXC:close,MEXC:volume,KRAKEN:open,KRAKEN:high,KRAKEN:low,KRAKEN:close,KRAKEN:volume
2025-12-07 10:00,13.778,13.782,13.776,13.782,274.45,13.78000000,13.78000000,13.77000000,13.78000000,360.32000000,,,,,,13.77,13.78,13.77,13.77,230.57,13.77644,13.77644,13.77644,13.77644,3.47347
2025-12-07 10:01,13.781,13.785,13.781,13.785,38.46,13.78000000,13.78000000,13.78000000,13.78000000,430.33000000,,,,,,13.77,13.79,13.77,13.78,240.15,,,,,0.0
2025-12-07 10:02,13.786,13.793,13.786,13.788,294.61,13.79000000,13.80000000,13.78000000,13.78000000,213.35000000,,,,,,13.78,13.8,13.78,13.79,144.33,13.77739,13.78,13.77739,13.78,62.44105716
2025-12-07 10:03,13.787,13.787,13.775,13.776,619.24,13.78000000,13.78000000,13.77000000,13.78000000,1116.30000000,,,,,,13.79,13.79,13.77,13.77,671.37,13.77312,13.77312,13.77291,13.77291,97.61956
2025-12-07 10:04,13.774,13.776,13.773,13.776,59.57,13.78000000,13.78000000,13.78000000,13.78000000,28.50000000,,,,,,13.77,13.78,13.77,13.77,24.36,,,,,0.0
2025-12-07 10:05,13.776,13.776,13.772,13.773,435.18,13.78000000,13.78000000,13.77000000,13.78000000,42.69000000,,,,,,13.77,13.78,13.77,13.78,83.1,,,,,0.0
2025-12-07 10:06,13.772,13.773,13.763,13.763,178.15,13.78000000,13.78000000,13.77000000,13.77000000,328.43000000,,,,,,13.78,13.78,13.76,13.77,197.13,,,,,0.0
2025-12-07 10:07,13.766,13.773,13.766,13.773,1010.4,13.77000000,13.78000000,13.76000000,13.78000000,359.62000000,,,,,,13.77,13.77,13.76,13.77,259.57,13.76516,13.76516,13.76516,13.76516,0.37411
2025-12-07 10:08,13.774,13.775,13.772,13.775,37.95,13.77000000,13.78000000,13.77000000,13.78000000,683.80000000,,,,,,13.77,13.78,13.77,13.77,410.42,,,,,0.0
2025-12-07 10:09,13.776,13.789,13.776,13.789,4381.36,13.78000000,13.79000000,13.77000000,13.79000000,1607.98000000,,,,,,13.77,13.79,13.77,13.79,964.51,13.76816,13.79017,13.76816,13.79017,1419.2737293500002
