time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume,KRAKEN:open,KRAKEN:high,KRAKEN:low,KRAKEN:close,KRAKEN:volume
2022-03-04 10:00,2729.48,2732.51,2728.95,2729.98,97.96605098,2729.72000000,2732.44000000,2729.71000000,2730.55000000,119.01370000,2732.0,2734.2,2732.0,2733.8,2.90761755,2730.33,2730.33,2729.78,2729.78,0.02930227
2022-03-04 10:01,2729.92,2730.56,2728.35,2729.6,14.21603635,2730.55000000,2731.04000000,2729.04000000,2730.11000000,82.97480000,2732.0,2732.5,2731.16051451,2732.5,2.74380451,2729.77,2729.77,2729.38,2729.38,20.102330000000002
2022-03-04 10:02,2729.67,2733.6,2727.79,2733.5,44.52354683,2730.11000000,2734.09000000,2728.32000000,2734.09000000,118.45970000,2732.5,2735.0,2730.49918988,2734.9,19.0936198,2729.11,2733.98,2728.7,2733.98,3.14500769
2022-03-04 10:03,2733.49,2735.46,2732.94,2735.46,103.03417162,2734.09000000,2735.70000000,2733.44000000,2735.69000000,117.61820000,2734.82776746,2737.22265698,2734.82776746,2737.22265698,7.585864689999999,2733.87,2735.66,2733.87,2735.6,5.58732632
2022-03-04 10:04,2735.45,2735.45,2733.4,2733.92,58.25127803,2735.70000000,2735.70000000,2733.60000000,2734.56000000,182.83440000,2736.67155312,2736.8,2735.6,2736.3,0.4109314,2735.61,2735.62,2735.24,2735.24,1.9405588
2022-03-04 10:05,2733.93,2735.32,2732.29,2734.04,189.27181275,2734.56000000,2735.69000000,2733.03000000,2734.73000000,298.13260000,2735.90000772,2737.5,2734.8,2735.9,0.77211882,2735.23,2735.26,2735.23,2735.26,1.0548554
2022-03-04 10:06,2734.19,2735.49,2733.81,2734.56,15.96846773,2734.72000000,2736.05000000,2734.55000000,2735.00000000,144.45690000,2736.3,2736.8,2735.9,2736.1,0.59909662,2735.29,2735.29,2735.29,2735.29,1.33519341
2022-03-04 10:07,2734.9,2736.61,2734.28,2734.55,124.68501355,2735.00000000,2736.77000000,2734.60000000,2735.32000000,56.85330000,2735.92787922,2737.71599508,2735.92787922,2737.0,4.17843496,2735.84,2736.39,2735.84,2736.39,1.4567251399999999
2022-03-04 10:08,2734.55,2737.49,2734.48,2735.12,62.272798,2735.33000000,2737.97000000,2735.02000000,2735.45000000,109.45490000,2737.0,2738.5,2737.0,2737.7,4.2626916,2736.43,2737.87,2735.47,2735.51,5.817693719999999
2022-03-04 10:09,2734.79,2736.12,2732.26,2732.63,154.46698895,2735.44000000,2736.63000000,2733.20000000,2733.60000000,190.03540000,2737.18668184,2737.7,2736.19538651,2736.19538651,10.41050384,2735.68,2735.68,2735.68,2735.68,0.1000637
2022-03-04 10:10,2732.61,2734.65,2729.88,2734.65,57.07873947,2733.61000000,2735.02000000,2730.68000000,2735.01000000,227.49320000,2735.2,2735.66179014,2733.00121268,2734.3,15.10620334,2735.68,2735.68,2731.3,2735.32,4.65570263
2022-03-04 10:11,2734.64,2736.82,2733.38,2735.59,58.28554879,2735.02000000,2737.40000000,2734.69000000,2736.47000000,128.09140000,2736.32701283,2739.3,2736.32701283,2738.72181451,2.1531633599999997,2735.28,2737.28,2735.28,2737.28,4.86025416
2022-03-04 10:12,2735.51,2737.78,2735.26,2736.98,113.91057598,2736.47000000,2738.32000000,2736.13000000,2737.95000000,139.13880000,2738.7,2739.3,2737.9,2738.3,0.29791551,2737.07,2737.81,2736.5,2737.54,7.64132517
2022-03-04 10:13,2736.83,2738.73,2736.19,2738.3,80.61642932,2737.94000000,2739.02000000,2736.88000000,2738.98000000,90.49910000,2739.3,2739.9,2738.3,2739.9,0.28905467,2737.58,2738.99,2737.37,2738.99,1.11644228
2022-03-04 10:14,2738.41,2738.73,2737.44,2738.56,130.15836942,2738.98000000,2739.41000000,2737.92000000,2739.32000000,99.64940000,2739.8,2740.5,2739.8,2740.3,0.50393417,2738.99,2738.99,2738.98,2738.99,1.29981008
2022-03-04 10:15,2738.62,2740.42,2736.18,2736.64,96.93529995,2739.33000000,2740.46000000,2736.89000000,2736.90000000,246.23550000,2740.0,2741.7,2740.0,2740.6,31.57658577,2738.9,2740.35,2738.9,2740.35,51.12385006
2022-03-04 10:16,2736.43,2737.76,2735.94,2737.76,113.22823448,2736.89000000,2738.24000000,2736.27000000,2738.24000000,106.22650000,2738.8,2739.4,2738.8,2739.4,0.00791612,2737.03,2737.97,2736.92,2737.97,6.45313536
2022-03-04 10:17,2737.62,2737.62,2735.82,2737.54,25.08067855,2738.23000000,2738.40000000,2736.36000000,2737.83000000,127.66340000,2739.63646407,2739.7,2737.8,2738.94349923,0.67109661,2737.93,2738.28,2737.29,2738.26,8.061066199999999
2022-03-04 10:18,2737.57,2738.7,2735.95,2737.88,41.81532064,2737.82000000,2739.01000000,2736.70000000,2738.30000000,145.06050000,2739.3,2739.3927384,2738.1,2739.28264747,12.20419342,2737.8,2737.8,2737.79,2737.79,2.67476
2022-03-04 10:19,2737.94,2739.1,2736.75,2737.95,112.18389535,2738.29000000,2739.87000000,2737.52000000,2738.37000000,105.97520000,2739.28264747,2741.2,2738.8,2738.8,2.85277862,2739.37,2739.37,2739.37,2739.37,2.749
2022-03-04 10:20,2737.95,2740.31,2737.15,2739.36,18.26196073,2738.38000000,2740.99000000,2738.05000000,2739.81000000,77.26800000,2739.5,2741.5,2739.5,2741.5,0.10454316,2738.39,2738.4,2738.39,2738.4,0.16920000000000002
2022-03-04 10:21,2739.4,2741.26,2737.86,2739.0,160.82052028,2739.81000000,2741.71000000,2738.44000000,2739.81000000,195.38010000,2741.15419336,2742.0,2740.71382962,2740.8,12.483724930000001,2740.0,2740.68,2740.0,2740.0,11.14309914
2022-03-04 10:22,2739.0,2740.32,2735.0,2735.05,120.66023295,2739.80000000,2740.83000000,2734.42000000,2734.43000000,450.95450000,2740.9,2741.2,2737.5,2737.76193548,86.94678169,2740.0,2740.0,2735.24,2736.36,28.879259310000002
2022-03-04 10:23,2734.39,2735.65,2732.93,2735.23,158.59881945,2734.43000000,2735.80000000,2733.49000000,2735.44000000,130.64330000,2735.1,2737.0,2735.1,2736.7,16.68378186,2734.81,2735.69,2734.3,2735.69,0.39590627999999994
2022-03-04 10:24,2735.14,2737.35,2735.03,2737.1,21.58362301,2735.45000000,2737.37000000,2735.44000000,2736.98000000,65.53510000,2737.0,2737.9,2737.0,2737.9,1.85771176,2735.67,2736.23,2735.54,2736.23,21.924259999999997
2022-03-04 10:25,2737.21,2738.15,2736.7,2737.62,113.55708785,2736.99000000,2738.53000000,2736.98000000,2738.41000000,110.08540000,2738.7,2740.0,2738.6,2740.0,5.40648863,,,,,0.0
2022-03-04 10:26,2737.62,2738.45,2736.37,2737.62,63.17567457,2738.41000000,2738.76000000,2737.58000000,2738.10000000,234.81540000,2739.3,2740.3,2739.3,2739.90413751,7.05996482,2738.63,2738.7,2738.63,2738.7,2.0
2022-03-04 10:27,2737.59,2738.78,2737.19,2738.5,106.49447357,2738.09000000,2739.31000000,2737.49000000,2739.31000000,74.77540000,2739.57357721,2740.6,2739.57357721,2740.3,6.18503668,2738.24,2738.24,2738.24,2738.24,0.01745424
2022-03-04 10:28,2738.72,2741.19,2738.72,2739.51,45.73569786,2739.30000000,2741.50000000,2739.30000000,2739.96000000,101.86490000,2740.5,2742.21805961,2740.5,2741.2,39.87502866,2740.98,2740.98,2740.98,2740.98,0.17303714
2022-03-04 10:29,2739.33,2740.85,2738.38,2740.22,61.38737752,2739.96000000,2740.87000000,2739.05000000,2740.42000000,350.41960000,2741.3,2742.2,2741.2,2741.9,7.192777850000001,2741.09,2741.09,2740.0,2740.0,2.749
2022-03-04 10:30,2739.81,2740.17,2737.81,2738.32,134.41258711,2740.42000000,2740.43000000,2738.70000000,2738.70000000,72.95140000,2741.0,2742.0,2740.45507135,2740.45507135,32.99688729,2739.54,2739.54,2739.54,2739.54,0.00125
2022-03-04 10:31,2737.94,2739.98,2737.68,2738.68,26.39378295,2738.70000000,2740.00000000,2738.70000000,2739.18000000,120.60220000,2740.5,2741.4,2740.5,2741.11619195,2.84711117,2738.94,2739.65,2738.94,2739.65,0.46370206
2022-03-04 10:32,2738.67,2739.74,2737.21,2739.32,165.51068333,2739.17000000,2739.99000000,2737.80000000,2739.98000000,111.57520000,2740.12451105,2741.3,2739.9,2741.0,6.07269495,2739.81,2739.81,2739.1,2739.48,0.28862334
2022-03-04 10:33,2739.32,2745.76,2738.0,2744.87,168.73477337,2739.99000000,2745.72000000,2738.44000000,2745.13000000,1342.66590000,2741.55693901,2746.8,2740.56525811,2745.9,196.6780313,2740.19,2745.43,2739.53,2745.43,30.4137366
2022-03-04 10:34,2744.78,2745.08,2737.8,2740.15,168.01982589,2745.14000000,2745.14000000,2738.84000000,2740.49000000,309.66380000,2746.8,2746.8,2740.9,2742.5,20.24456552,2743.92,2743.92,2739.23,2739.33,0.46533875
2022-03-04 10:35,2740.07,2742.89,2738.07,2742.44,36.18549816,2740.48000000,2743.40000000,2738.88000000,2743.13000000,353.74690000,2742.8,2744.0,2741.55693901,2744.0,8.44312774,2740.8,2742.18,2740.01,2742.18,6.02164757
