time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume,MEXC:open,MEXC:high,MEXC:low,MEXC:close,MEXC:volume,GATEIO:open,GATEIO:high,GATEIO:low,GATEIO:close,GATEIO:volume,KRAKEN:open,KRAKEN:high,KRAKEN:low,KRAKEN:close,KRAKEN:volume
2025-12-07 10:00,0.13876,0.13877,0.13875,0.13875,26581.3,0.13875000,0.13875000,0.13872000,0.13874000,128306.00000000,,,,,,0.13874,0.13875,0.13872,0.13874,50600.84,0.13874,0.13874,0.1387,0.13873,4815.17728180,,,,,
2025-12-07 10:01,0.13877,0.13885,0.13877,0.13885,5713.8,0.13874000,0.13885000,0.13874000,0.13885000,51035.00000000,,,,,,0.13874,0.13885,0.13874,0.13884,20412.83,0.13874,0.13884,0.13874,0.13884,8297.32982720,,,,,
2025-12-07 10:02,0.13885,0.13887,0.13882,0.13882,116237.9,0.13885000,0.13887000,0.13884000,0.13886000,23733.00000000,0.13897,0.13897,0.13897,0.13897,200.0,0.13884,0.13887,0.13884,0.13887,11373.22,0.13885,0.13886,0.13883,0.13885,4023.71779300,,,,,
2025-12-07 10:03,0.13881,0.13883,0.13879,0.13879,7111.5,0.13886000,0.13886000,0.13877000,0.13881000,80403.00000000,,,,,,0.13887,0.13887,0.13877,0.1388,30266.52,0.13885,0.13885,0.13875,0.13881,8619.64295350,,,,,
2025-12-07 10:04,0.1388,0.13882,0.13878,0.13882,9195.7,0.13881000,0.13881000,0.13877000,0.13880000,104734.00000000,,,,,,0.1388,0.13881,0.13876,0.1388,41936.55,0.1388,0.1388,0.13875,0.1388,5335.35486130,,,,,
2025-12-07 10:05,0.13882,0.13886,0.13882,0.13886,10086.2,0.13881000,0.13884000,0.13880000,0.13883000,24732.00000000,,,,,,0.1388,0.13882,0.1388,0.13881,14808.73,0.13881,0.13883,0.13879,0.13883,5578.67826290,0.00109,0.00109,0.00109,0.00109,339139.4619
2025-12-07 10:06,0.13884,0.13884,0.13874,0.13875,9617.6,0.13883000,0.13884000,0.13876000,0.13876000,108968.00000000,,,,,,0.13881,0.13881,0.13876,0.13876,53482.94,0.13883,0.13884,0.13875,0.13876,7097.69582890,,,,,0.0
2025-12-07 10:07,0.13876,0.13887,0.13876,0.13887,19266.4,0.13876000,0.13886000,0.13872000,0.13886000,92287.00000000,,,,,,0.13876,0.13886,0.13872,0.13886,84486.58,0.13875,0.13886,0.13873,0.13886,21029.18038620,,,,,0.0
2025-12-07 10:08,0.13886,0.13888,0.13886,0.13888,4538.2,0.13886000,0.13887000,0.13884000,0.13887000,9032.00000000,,,,,,0.13886,0.13887,0.13884,0.13887,4288.29,0.13885,0.13887,0.13882,0.13887,13551.15159980,,,,,0.0
2025-12-07 10:09,0.13889,0.13891,0.13889,0.13891,66642.8,0.13887000,0.13890000,0.13885000,0.13890000,124129.00000000,,,,,,0.13887,0.1389,0.13885,0.13889,49628.12,0.13887,0.1389,0.13885,0.1389,6795.07692540,,,,,0.0
2025-12-07 10:10,0.13892,0.13911,0.13892,0.13908,27558.0,0.13890000,0.13909000,0.13888000,0.13907000,173564.00000000,,,,,,0.13889,0.1391,0.13889,0.13907,40565.24,0.1389,0.13909,0.13887,0.13907,10660.71049700,,,,,0.0
