iter	Passed	Remaining
410	4108	5887
411	4119	5879
412	4130	5870
413	4140	5860
414	4151	5852
415	4161	5842
416	4171	5832
417	4182	5823
418	4192	5813
419	4204	5805
420	4214	5795
421	4226	5788
422	4235	5778
423	4247	5769
424	4256	5759
425	4267	5749
426	4277	5740
427	4292	5736
428	4304	5729
429	4315	5720
430	4327	5712
431	4338	5704
432	4349	5695
433	4362	5688
434	4373	5680
435	4389	5677
436	4410	5681
437	4424	5676
438	4437	5670
439	4449	5662
440	4459	5652
441	4471	5644
442	4481	5634
443	4491	5625
444	4502	5615
445	4512	5605
446	4522	5595
447	4534	5587
448	4545	5577
449	4556	5569
450	4566	5558
451	4576	5548
452	4587	5538
453	4596	5528
454	4608	5520
455	4618	5510
456	4630	5501
457	4639	5490
458	4649	5480
459	4659	5470
460	4671	5461
461	4681	5451
462	4692	5442
463	4703	5433
464	4714	5424
465	4726	5415
466	4736	5406
467	4748	5398
468	4759	5388
469	4769	5378
470	4780	5368
471	4789	5358
472	4801	5350
473	4811	5339
474	4822	5329
475	4832	5319
476	4842	5309
477	4852	5299
478	4862	5289
479	4873	5279
480	4883	5269
481	4894	5260
482	4905	5250
483	4915	5240
484	4925	5230
485	4935	5220
486	4946	5210
487	4956	5200
488	4967	5191
489	4977	5181
490	4988	5171
491	4999	5162
492	5010	5153
493	5021	5143
494	5031	5132
495	5040	5122
496	5051	5112
497	5061	5102
498	5071	5091
499	5082	5082
500	5094	5074
501	5104	5064
502	5115	5054
503	5127	5045
504	5137	5035
505	5148	5026
506	5159	5016
507	5169	5006
508	5181	4998
509	5192	4989
510	5204	4980
511	5214	4970
512	5225	4960
513	5235	4950
514	5245	4940
515	5255	4930
516	5268	4921
517	5278	4912
518	5291	4904
519	5304	4896
520	5316	4888
521	5328	4879
522	5340	4870
523	5351	4861
524	5363	4852
525	5374	4843
526	5386	4834
527	5397	4825
528	5408	4815
529	5421	4808
530	5432	4798
531	5443	4788
532	5455	4779
533	5468	4771
534	5478	4761
535	5491	4753
536	5505	4746
537	5517	4738
538	5530	4730
539	5542	4721
540	5554	4712
541	5565	4702
542	5576	4693
543	5590	4686
544	5603	4678
545	5615	4669
546	5626	4659
547	5637	4650
548	5649	4641
549	5661	4632
550	5675	4624
551	5686	4615
552	5698	4606
553	5710	4597
554	5721	4587
555	5738	4582
556	5759	4580
557	5773	4573
558	5786	4565
559	5798	4555
560	5808	4545
561	5818	4534
562	5830	4525
563	5840	4515
564	5853	4506
565	5863	4496
566	5874	4486
567	5886	4477
568	5899	4468
569	5910	4458
570	5923	4450
571	5936	4441
572	5946	4431
573	5956	4420
574	5966	4410
575	5978	4400
576	5993	4393
577	6011	4389
578	6024	4380
579	6037	4371
580	6048	4361
