iter	RMSE
0	0.08732542028
1	0.08491229878
2	0.08247690516
3	0.08017084753
4	0.07792672994
5	0.07574822414
6	0.07361698521
7	0.07155312418
8	0.06956270681
9	0.06765878103
10	0.0658032091
11	0.06396481987
12	0.0622003301
13	0.06048697577
14	0.05879365306
15	0.05718104338
16	0.05559624148
17	0.05405669855
18	0.0525961889
19	0.05117614683
20	0.04977660079
21	0.04841567479
22	0.04709122545
23	0.04580940342
24	0.04454611041
25	0.04335579799
26	0.04217282763
27	0.04104142649
28	0.03992078064
29	0.03884531748
30	0.0378157227
31	0.03680782684
32	0.03581741993
33	0.03487603038
34	0.03394367822
35	0.03304108003
36	0.03215381008
37	0.03130847884
38	0.03050334828
39	0.02970883111
40	0.02894007709
41	0.02818994313
42	0.02745868962
43	0.02675938538
44	0.02607865279
45	0.02541225118
46	0.02477381183
47	0.02415561988
48	0.02355123632
49	0.02296778016
50	0.02239146243
51	0.02183355573
52	0.02128198141
53	0.02075750837
54	0.02024867675
55	0.01975024849
56	0.01927250653
57	0.01882444639
58	0.0183840398
59	0.01795729885
60	0.01752557258
61	0.01711570503
62	0.01671600053
63	0.01632890058
64	0.01595694548
65	0.01559498032
66	0.01523795694
67	0.01490144277
68	0.01457675834
69	0.01425346318
70	0.01394514735
71	0.01364252248
72	0.01336055326
73	0.01307677226
74	0.01280711155
75	0.01254592354
76	0.01229585967
77	0.01205368583
78	0.01181661829
79	0.0115789289
80	0.01135568848
81	0.01114165152
82	0.01093607776
83	0.01073663194
84	0.01054465068
85	0.01035166368
86	0.01016474718
87	0.009988902677
88	0.009811434532
89	0.009643398694
90	0.009479631375
91	0.009314022303
92	0.009165862842
93	0.009020092972
94	0.008870256227
95	0.008725346742
96	0.008587884292
97	0.008454322687
98	0.008326121556
99	0.008201091149
100	0.008084435039
101	0.007962486051
102	0.007856356305
103	0.007736531936
104	0.007630361993
105	0.007517462084
106	0.007412952332
107	0.007314731852
108	0.007217661346
109	0.007125259392
110	0.007040963793
111	0.006949350534
112	0.00686429697
113	0.006769787926
114	0.006688505715
115	0.00660918793
116	0.006531647404
117	0.006460287761
118	0.006388311317
119	0.006321721097
120	0.006242675804
121	0.006173381191
122	0.006106603351
123	0.006040802715
124	0.005978284105
125	0.005915001863
126	0.00585757185
127	0.005804383509
128	0.005741970141
129	0.005685319044
130	0.005630727736
131	0.005585539463
132	0.005539166113
133	0.005488134969
134	0.005444895536
135	0.005391771943
136	0.005343736633
137	0.005294764409
138	0.005254294214
139	0.005212972114
140	0.005168764283
141	0.005129996639
142	0.005091138364
143	0.005052217809
144	0.005015538108
145	0.00498125396
146	0.004950019204
147	0.004915447235
148	0.004872632269
149	0.004837202652
150	0.004800503307
151	0.004773282605
152	0.004741708573
153	0.004708211531
154	0.004671722884
155	0.004634159683
156	0.004606295303
157	0.004579129533
158	0.00454750234
159	0.004522694669
160	0.004492472632
