time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume
2024-09-07 13:37,2298.22,2298.74,2297.49,2297.6,55.92717211,2298.40000000,2298.79000000,2297.64000000,2297.65000000,218.77850000,2304.5,2304.5,2304.5,2304.5,0.003772
2024-09-07 13:38,2297.6,2298.23,2297.23,2297.41,18.61060007,2297.64000000,2298.00000000,2297.64000000,2297.73000000,55.22590000,2304.5,2304.8,2304.5,2304.8,0.49228314
2024-09-07 13:39,2297.52,2297.66,2294.78,2295.5,9.15620981,2297.73000000,2297.75000000,2295.00000000,2295.63000000,75.48710000,,,,,
2024-09-07 13:40,2295.26,2295.28,2292.03,2292.04,21.28293185,2295.63000000,2295.63000000,2292.21000000,2292.21000000,96.02000000,,,,,
2024-09-07 13:41,2292.0,2292.0,2289.46,2289.46,31.66673574,2292.20000000,2292.20000000,2290.00000000,2290.01000000,124.06740000,2297.8,2297.8,2297.8,2297.8,0.05
2024-09-07 13:42,2289.23,2289.23,2285.69,2288.21,25.03903093,2290.01000000,2290.01000000,2285.99000000,2287.94000000,286.53340000,2293.6,2294.8,2293.6,2294.6,0.062000000000000006
2024-09-07 13:43,2287.69,2287.93,2286.24,2286.4,36.55882094,2287.93000000,2288.25000000,2286.43000000,2286.43000000,493.99860000,2294.6,2294.7,2294.6,2294.7,0.0048000000000000004
2024-09-07 13:44,2286.43,2288.23,2286.43,2287.18,17.95687518,2286.44000000,2288.20000000,2286.41000000,2287.20000000,168.68830000,,,,,
2024-09-07 13:45,2287.18,2289.19,2285.65,2285.65,26.53459131,2287.21000000,2289.09000000,2285.72000000,2285.72000000,151.40140000,2295.9,2295.9,2295.6,2295.6,0.1
2024-09-07 13:46,2286.0,2286.0,2282.73,2282.91,64.55236118,2285.72000000,2286.10000000,2282.69000000,2282.69000000,631.12730000,2292.3,2292.3,2289.3,2289.3,0.21000000000000002
2024-09-07 13:47,2282.3,2284.4,2281.56,2283.32,37.78251936,2282.69000000,2284.20000000,2282.03000000,2283.01000000,183.13370000,2290.0,2290.0,2289.9,2289.9,0.2
2024-09-07 13:48,2283.07,2286.04,2283.07,2286.04,49.47373427,2283.01000000,2286.20000000,2283.01000000,2286.20000000,157.51750000,2291.9,2292.5,2291.9,2292.5,0.38631933
2024-09-07 13:49,2286.37,2288.83,2286.0,2288.83,35.75461654,2286.19000000,2288.60000000,2286.00000000,2288.59000000,116.34280000,2294.3,2295.1,2293.5,2295.1,0.35030645
