time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume
2024-09-07 13:37,0.09524,0.09526,0.0952,0.09521,64209.8,0.09524000,0.09525000,0.09519000,0.09520000,24412.00000000,0.095487,0.095487,0.095459,0.095459,150.0
2024-09-07 13:38,0.09522,0.09525,0.09522,0.09523,39158.3,0.09520000,0.09524000,0.09520000,0.09523000,61620.00000000,,,,,
2024-09-07 13:39,0.09523,0.09524,0.09514,0.09519,185320.4,0.09523000,0.09523000,0.09512000,0.09519000,939046.00000000,,,,,
2024-09-07 13:40,0.0952,0.09521,0.09513,0.09514,315993.8,0.09518000,0.09522000,0.09512000,0.09512000,281118.00000000,0.095435,0.095435,0.09543,0.09543,1474.79472554
2024-09-07 13:41,0.09511,0.09511,0.09502,0.09502,213014.8,0.09512000,0.09512000,0.09502000,0.09502000,261835.00000000,0.095375,0.095375,0.095375,0.095375,50.0
2024-09-07 13:42,0.095,0.09505,0.09488,0.09502,268327.0,0.09501000,0.09504000,0.09488000,0.09503000,248141.00000000,,,,,
2024-09-07 13:43,0.09502,0.09502,0.09497,0.09497,113502.5,0.09502000,0.09502000,0.09497000,0.09497000,425873.00000000,,,,,
2024-09-07 13:44,0.09496,0.09501,0.09494,0.09498,32573.1,0.09496000,0.09501000,0.09493000,0.09498000,209719.00000000,0.095218,0.095218,0.095218,0.095218,22.0
2024-09-07 13:45,0.09499,0.09504,0.09496,0.09496,87263.4,0.09499000,0.09504000,0.09493000,0.09493000,338854.00000000,0.09533,0.09533,0.09533,0.09533,1050.0
2024-09-07 13:46,0.09495,0.09495,0.09479,0.09481,91456.8,0.09493000,0.09496000,0.09480000,0.09480000,421000.00000000,0.095114,0.095114,0.095114,0.095114,750.0
2024-09-07 13:47,0.0948,0.09487,0.09478,0.09485,154621.0,0.09480000,0.09488000,0.09477000,0.09486000,235619.00000000,0.095055,0.095055,0.095055,0.095055,50.0
2024-09-07 13:48,0.09485,0.09491,0.09485,0.09491,56279.7,0.09485000,0.09492000,0.09485000,0.09490000,82531.00000000,,,,,
2024-09-07 13:49,0.09492,0.09497,0.09492,0.09494,32076.6,0.09491000,0.09497000,0.09491000,0.09497000,185678.00000000,,,,,
2024-09-07 13:50,0.09498,0.09503,0.09493,0.09493,84332.2,0.09497000,0.09502000,0.09493000,0.09494000,218183.00000000,0.095331,0.095331,0.095246,0.095246,1581.73636083
2024-09-07 13:51,0.09494,0.09494,0.09489,0.0949,201777.9,0.09494000,0.09494000,0.09489000,0.09490000,342863.00000000,,,,,
2024-09-07 13:52,0.09492,0.095,0.09492,0.095,64191.6,0.09491000,0.09501000,0.09491000,0.09501000,75417.00000000,,,,,
2024-09-07 13:53,0.09501,0.09503,0.09498,0.09498,30436.9,0.09501000,0.09502000,0.09498000,0.09499000,61825.00000000,0.095302,0.095302,0.095302,0.095302,50.0
2024-09-07 13:54,0.09499,0.09509,0.09499,0.09509,50658.2,0.09499000,0.09508000,0.09499000,0.09508000,40944.00000000,,,,,
2024-09-07 13:55,0.09509,0.09519,0.09509,0.09518,91444.3,0.09508000,0.09517000,0.09508000,0.09517000,48250.00000000,,,,,
2024-09-07 13:56,0.09517,0.09517,0.09509,0.09509,31742.8,0.09518000,0.09518000,0.09508000,0.09508000,82920.00000000,,,,,
2024-09-07 13:57,0.09509,0.09509,0.09498,0.09498,58348.2,0.09508000,0.09508000,0.09497000,0.09498000,318863.00000000,,,,,
2024-09-07 13:58,0.09498,0.095,0.09495,0.095,37526.3,0.09498000,0.09500000,0.09496000,0.09499000,216465.00000000,,,,,
2024-09-07 13:59,0.095,0.09505,0.09499,0.09505,34737.0,0.09499000,0.09504000,0.09499000,0.09504000,232089.00000000,,,,,
2024-09-07 14:00,0.09508,0.09508,0.095,0.095,80721.9,0.09504000,0.09506000,0.09498000,0.09500000,546178.00000000,,,,,
2024-09-07 14:01,0.09501,0.09502,0.09497,0.09499,56715.1,0.09499000,0.09502000,0.09497000,0.09498000,92707.00000000,,,,,
2024-09-07 14:02,0.09497,0.09506,0.09494,0.09506,4224.9,0.09498000,0.09506000,0.09494000,0.09505000,86185.00000000,,,,,
2024-09-07 14:03,0.09506,0.09516,0.09506,0.09516,84525.9,0.09505000,0.09517000,0.09505000,0.09517000,220384.00000000,0.095387,0.095387,0.095387,0.095387,100.0
2024-09-07 14:04,0.09516,0.09518,0.09508,0.09509,248617.8,0.09516000,0.09518000,0.09510000,0.09510000,162963.00000000,0.095446,0.095446,0.095406,0.095406,150.0
2024-09-07 14:05,0.09509,0.09511,0.095,0.09503,250811.3,0.09509000,0.09512000,0.09501000,0.09503000,286893.00000000,,,,,
2024-09-07 14:06,0.09503,0.09504,0.09497,0.09497,66170.3,0.09503000,0.09505000,0.09497000,0.09498000,271751.00000000,,,,,
2024-09-07 14:07,0.09499,0.09504,0.09496,0.09504,68563.6,0.09498000,0.09504000,0.09498000,0.09504000,624434.00000000,,,,,
2024-09-07 14:08,0.09506,0.0951,0.09502,0.0951,12257.2,0.09505000,0.09510000,0.09503000,0.09510000,84066.00000000,,,,,
2024-09-07 14:09,0.09512,0.09513,0.09502,0.09502,44384.4,0.09509000,0.09514000,0.09501000,0.09501000,188296.00000000,,,,,
2024-09-07 14:10,0.095,0.09504,0.09499,0.09504,60528.4,0.09500000,0.09506000,0.09496000,0.09505000,148214.00000000,,,,,
2024-09-07 14:11,0.09505,0.09509,0.09502,0.09505,57563.3,0.09505000,0.09509000,0.09502000,0.09504000,145486.00000000,,,,,
2024-09-07 14:12,0.09506,0.09508,0.09503,0.09506,29521.6,0.09504000,0.09507000,0.09503000,0.09503000,20339.00000000,,,,,
2024-09-07 14:13,0.09503,0.09503,0.09498,0.09501,88910.5,0.09504000,0.09504000,0.09497000,0.09497000,105900.00000000,,,,,
2024-09-07 14:14,0.09496,0.09501,0.09496,0.09501,39192.2,0.09497000,0.09500000,0.09496000,0.09500000,140613.00000000,,,,,
2024-09-07 14:15,0.09502,0.09508,0.095,0.09504,34148.2,0.09501000,0.09509000,0.09496000,0.09506000,51481.00000000,,,,,
2024-09-07 14:16,0.09506,0.09506,0.09499,0.09506,62902.1,0.09505000,0.09505000,0.09497000,0.09504000,123662.00000000,,,,,
2024-09-07 14:17,0.09504,0.09504,0.09499,0.09499,22198.7,0.09504000,0.09505000,0.09499000,0.09505000,17351.00000000,,,,,
2024-09-07 14:18,0.09502,0.09503,0.09497,0.09497,24376.9,0.09504000,0.09504000,0.09495000,0.09496000,28111.00000000,,,,,
2024-09-07 14:19,0.09498,0.09498,0.09498,0.09498,1003.4,0.09496000,0.09499000,0.09496000,0.09498000,18776.00000000,0.095236,0.095236,0.095236,0.095236,36.4096487
2024-09-07 14:20,0.09503,0.09507,0.095,0.09502,17540.3,0.09499000,0.09506000,0.09499000,0.09502000,142065.00000000,,,,,
2024-09-07 14:21,0.09501,0.09502,0.09496,0.09501,61351.0,0.09501000,0.09501000,0.09497000,0.09500000,438126.00000000,,,,,
