time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume
2024-09-07 13:37,54660.58,54662.05,54633.86,54648.9,1.53089637,54649.01000000,54649.01000000,54633.21000000,54643.99000000,28.98455000,54803.0,54812.0,54802.0,54811.0,0.60711227
2024-09-07 13:38,54650.75,54668.75,54650.45,54655.03,2.11851458,54644.00000000,54665.94000000,54643.99000000,54656.30000000,40.48836000,54812.0,54820.0,54811.0,54820.0,0.89324659
2024-09-07 13:39,54655.02,54655.02,54603.92,54625.22,4.39309046,54656.30000000,54656.30000000,54606.00000000,54623.99000000,9.20619000,54820.0,54820.0,54765.0,54782.0,0.34522817
2024-09-07 13:40,54625.22,54625.22,54562.73,54564.16,2.45314242,54624.00000000,54624.00000000,54570.68000000,54570.68000000,11.81213000,54782.0,54786.0,54747.0,54747.0,0.57150959
2024-09-07 13:41,54564.16,54564.69,54504.01,54506.77,2.49076621,54570.68000000,54570.68000000,54508.37000000,54508.37000000,16.57028000,54745.0,54745.0,54692.0,54692.0,2.84865808
2024-09-07 13:42,54504.01,54504.01,54413.85,54482.66,5.48868832,54508.37000000,54508.37000000,54404.00000000,54480.99000000,40.22045000,54675.0,54675.0,54581.0,54650.0,0.6661198
2024-09-07 13:43,54482.66,54510.63,54460.81,54463.53,2.73793332,54481.00000000,54505.00000000,54463.82000000,54463.82000000,15.16150000,54649.0,54675.0,54626.0,54626.0,0.29008287
2024-09-07 13:44,54463.52,54500.34,54458.08,54483.91,2.32168674,54463.83000000,54481.10000000,54462.43000000,54481.09000000,5.57317000,54637.0,54655.0,54637.0,54647.0,0.56067842
2024-09-07 13:45,54483.91,54521.9,54459.81,54459.81,3.043357,54481.09000000,54515.00000000,54463.00000000,54463.00000000,16.19268000,54645.0,54678.0,54637.0,54637.0,0.05355507
2024-09-07 13:46,54459.81,54459.81,54408.45,54408.65,3.39601502,54463.00000000,54463.00000000,54415.01000000,54415.01000000,13.74449000,54627.0,54627.0,54590.0,54590.0,0.2989082
2024-09-07 13:47,54408.65,54454.0,54402.94,54438.18,2.83006987,54415.01000000,54446.00000000,54407.00000000,54443.01000000,14.80502000,54577.0,54590.0,54577.0,54590.0,0.30287599
2024-09-07 13:48,54438.18,54461.57,54438.18,54459.53,1.17745923,54443.00000000,54453.00000000,54442.00000000,54452.99000000,3.00446000,54596.0,54623.0,54596.0,54621.0,0.31828057
2024-09-07 13:49,54459.55,54497.72,54459.55,54497.72,2.98112107,54453.00000000,54487.99000000,54453.00000000,54487.99000000,13.65062000,54623.0,54646.0,54623.0,54646.0,0.29393339
2024-09-07 13:50,54496.32,54522.12,54470.57,54470.57,3.19359633,54487.99000000,54513.43000000,54475.00000000,54475.00000000,10.82162000,54647.0,54673.0,54646.0,54646.0,0.36805449
2024-09-07 13:51,54475.75,54478.38,54421.03,54437.62,1.88176036,54475.01000000,54475.01000000,54422.78000000,54425.99000000,12.45565000,54644.0,54644.0,54594.0,54594.0,0.36517032
2024-09-07 13:52,54437.62,54484.32,54437.62,54476.52,1.72986855,54426.00000000,54471.00000000,54426.00000000,54470.99000000,5.60250000,54595.0,54647.0,54595.0,54647.0,0.35413822
2024-09-07 13:53,54480.29,54491.77,54468.83,54491.77,1.8492977,54470.99000000,54485.00000000,54470.00000000,54485.00000000,22.33638000,54646.0,54657.0,54644.0,54650.0,0.29589386
2024-09-07 13:54,54491.77,54552.5,54487.85,54550.65,2.11216434,54485.00000000,54547.00000000,54484.99000000,54546.99000000,7.37578000,54651.0,54721.0,54651.0,54721.0,0.64241126
2024-09-07 13:55,54550.97,54599.19,54550.65,54585.97,2.15195705,54547.00000000,54591.00000000,54546.99000000,54588.01000000,6.54046000,54712.0,54740.0,54712.0,54740.0,1.3074071999999999
2024-09-07 13:56,54590.1,54590.1,54536.69,54549.53,2.94816095,54588.01000000,54588.01000000,54544.49000000,54544.49000000,5.85605000,54739.0,54739.0,54711.0,54712.0,0.30865606
2024-09-07 13:57,54549.52,54549.52,54521.58,54521.63,2.0310848,54544.49000000,54544.50000000,54522.00000000,54522.01000000,3.81734000,54710.0,54710.0,54691.0,54691.0,0.52611911
