time,open,high,low,close,volume
2025-12-01 10:00:00,2839.59000000,2842.61000000,2839.59000000,2842.61000000,432.14920000
2025-12-01 10:01:00,2842.62000000,2844.60000000,2842.61000000,2844.01000000,588.53580000
2025-12-01 10:02:00,2844.01000000,2844.69000000,2843.82000000,2844.32000000,49.40620000
2025-12-01 10:03:00,2844.31000000,2845.80000000,2843.26000000,2844.96000000,192.04910000
2025-12-01 10:04:00,2844.95000000,2844.95000000,2843.41000000,2843.60000000,180.19220000
2025-12-01 10:05:00,2843.66000000,2845.73000000,2843.09000000,2845.73000000,205.08360000
2025-12-01 10:06:00,2845.73000000,2846.50000000,2844.30000000,2844.30000000,197.55270000
2025-12-01 10:07:00,2844.30000000,2845.70000000,2843.89000000,2845.69000000,160.19670000
2025-12-01 10:08:00,2845.70000000,2845.85000000,2844.20000000,2844.59000000,175.36610000
2025-12-01 10:09:00,2844.59000000,2844.60000000,2841.53000000,2842.43000000,125.38470000
2025-12-01 10:10:00,2842.44000000,2843.06000000,2841.16000000,2842.47000000,112.13540000
2025-12-01 10:11:00,2842.48000000,2842.73000000,2841.03000000,2841.33000000,105.27030000
2025-12-01 10:12:00,2841.34000000,2841.58000000,2841.12000000,2841.55000000,51.69880000
2025-12-01 10:13:00,2841.55000000,2842.00000000,2841.14000000,2841.24000000,126.42890000
2025-12-01 10:14:00,2841.24000000,2841.27000000,2839.03000000,2839.04000000,191.44080000
2025-12-01 10:15:00,2839.03000000,2839.68000000,2838.63000000,2839.10000000,153.37130000
2025-12-01 10:16:00,2839.11000000,2839.43000000,2838.44000000,2838.47000000,65.50120000
2025-12-01 10:17:00,2838.47000000,2839.31000000,2838.26000000,2839.20000000,330.00330000
2025-12-01 10:18:00,2839.20000000,2839.20000000,2838.24000000,2839.18000000,50.63590000
2025-12-01 10:19:00,2839.18000000,2839.61000000,2839.05000000,2839.25000000,62.44890000
2025-12-01 10:20:00,2839.25000000,2839.25000000,2837.90000000,2837.91000000,56.38890000
2025-12-01 10:21:00,2837.91000000,2838.38000000,2837.90000000,2838.21000000,71.45330000
2025-12-01 10:22:00,2838.20000000,2839.20000000,2837.61000000,2838.91000000,64.20390000
2025-12-01 10:23:00,2838.90000000,2839.56000000,2838.52000000,2838.69000000,178.78920000
2025-12-01 10:24:00,2838.68000000,2839.16000000,2838.50000000,2839.16000000,262.15630000
2025-12-01 10:25:00,2839.15000000,2839.49000000,2838.18000000,2839.48000000,966.31410000
2025-12-01 10:26:00,2839.48000000,2839.77000000,2839.00000000,2839.01000000,459.76330000
2025-12-01 10:27:00,2839.01000000,2839.01000000,2839.00000000,2839.01000000,157.55890000
2025-12-01 10:28:00,2839.00000000,2839.01000000,2837.57000000,2838.49000000,797.83210000
2025-12-01 10:29:00,2838.50000000,2838.75000000,2838.22000000,2838.26000000,138.83870000
2025-12-01 10:30:00,2838.25000000,2839.46000000,2838.00000000,2839.45000000,202.51060000
2025-12-01 10:31:00,2839.45000000,2840.41000000,2839.00000000,2839.50000000,157.42760000
2025-12-01 10:32:00,2839.50000000,2840.18000000,2839.50000000,2840.18000000,80.84470000
2025-12-01 10:33:00,2840.18000000,2840.18000000,2839.00000000,2839.01000000,516.09340000
2025-12-01 10:34:00,2839.01000000,2839.87000000,2838.25000000,2839.87000000,2047.30000000
2025-12-01 10:35:00,2839.87000000,2840.97000000,2839.86000000,2840.96000000,363.92070000
2025-12-01 10:36:00,2840.97000000,2841.99000000,2840.50000000,2840.50000000,297.42690000
2025-12-01 10:37:00,2840.51000000,2840.68000000,2840.02000000,2840.67000000,163.32960000
2025-12-01 10:38:00,2840.67000000,2840.68000000,2840.37000000,2840.46000000,53.12260000
2025-12-01 10:39:00,2840.47000000,2841.05000000,2840.02000000,2840.86000000,312.94900000
2025-12-01 10:40:00,2840.87000000,2841.01000000,2840.11000000,2841.00000000,505.31870000
2025-12-01 10:41:00,2841.00000000,2843.06000000,2840.01000000,2842.50000000,692.13320000
2025-12-01 10:42:00,2842.50000000,2843.15000000,2842.07000000,2842.08000000,180.02220000
2025-12-01 10:43:00,2842.08000000,2843.01000000,2841.99000000,2842.26000000,336.87860000
2025-12-01 10:44:00,2842.27000000,2842.62000000,2841.38000000,2842.62000000,172.62560000
2025-12-01 10:45:00,2842.62000000,2844.01000000,2842.61000000,2842.73000000,2132.27330000
2025-12-01 10:46:00,2842.73000000,2845.01000000,2842.35000000,2845.00000000,1735.24180000
2025-12-01 10:47:00,2845.00000000,2845.01000000,2844.00000000,2844.31000000,2447.04490000
2025-12-01 10:48:00,2844.30000000,2844.51000000,2844.30000000,2844.30000000,445.95730000
2025-12-01 10:49:00,2844.30000000,2844.32000000,2844.30000000,2844.31000000,234.86380000
2025-12-01 10:50:00,2844.30000000,2844.31000000,2844.30000000,2844.30000000,95.95690000
2025-12-01 10:51:00,2844.30000000,2844.31000000,2844.00000000,2844.00000000,460.98990000
2025-12-01 10:52:00,2844.01000000,2844.01000000,2844.00000000,2844.00000000,179.19440000
2025-12-01 10:53:00,2844.00000000,2845.30000000,2844.00000000,2845.00000000,396.10380000
2025-12-01 10:54:00,2845.00000000,2845.01000000,2845.00000000,2845.00000000,87.78100000
2025-12-01 10:55:00,2845.00000000,2845.01000000,2845.00000000,2845.00000000,804.51350000
