time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume,MEXC:open,MEXC:high,MEXC:low,MEXC:close,MEXC:volume,GATEIO:open,GATEIO:high,GATEIO:low,GATEIO:close,GATEIO:volume,KRAKEN:open,KRAKEN:high,KRAKEN:low,KRAKEN:close,KRAKEN:volume
2025-12-07 10:00,89119.56,89154.47,89119.56,89154.47,0.77099994,89104.23000000,89142.90000000,89104.22000000,89142.90000000,4.20221000,89161.0,89161.0,89161.0,89161.0,0.002,89110,89142.91,89104.22,89142.91,2.10502362,89116.1,89137.9,89116,89137.9,256581.17145440,89125.4,89125.4,89125.4,89125.4,0.01024293
2025-12-07 10:01,89154.48,89196.88,89154.48,89196.88,0.56319335,89142.89000000,89179.98000000,89142.89000000,89179.97000000,1.69741000,89177.0,89200.0,89177.0,89200.0,0.00496309,89142.91,89180,89142.89,89179.97,1.33284698,89138,89181.2,89138,89181.2,222596.22653410,89125.4,89125.4,89125.3,89125.3,0.1221252
2025-12-07 10:02,89196.87,89210.51,89193.97,89202.46,0.13588578,89179.98000000,89190.17000000,89179.97000000,89190.17000000,0.70894000,89210.0,89214.0,89210.0,89214.0,0.0053307499999999996,89179.97,89190.2,89179.97,89190.17,0.50877996,89184.6,89192.2,89184.6,89192.2,220513.00162660,89125.4,89129.9,89125.3,89129.9,0.24621586
2025-12-07 10:03,89202.46,89202.46,89134.61,89154.84,2.12048586,89190.17000000,89190.17000000,89124.58000000,89141.09000000,7.93287000,89229.0,89229.0,89229.0,89229.0,0.001,89190.17,89190.17,89124.58,89141.08,5.54552848,89192.1,89192.1,89132,89136.9,318637.24176230,89129.8,89129.9,89129.8,89129.9,0.0077405899999999995
2025-12-07 10:04,89156.01,89158.77,89152.66,89156.39,0.28248249,89141.09000000,89141.09000000,89141.08000000,89141.08000000,0.81503000,89182.0,89182.0,89182.0,89182.0,0.01,89141.08,89141.09,89141.08,89141.08,0.5469516,89137,89137,89136.9,89137,204204.30027440,89129.9,89130.0,89129.9,89130.0,0.011947890000000001
2025-12-07 10:05,89154.01,89158.01,89129.06,89152.79,2.58476522,89141.08000000,89141.09000000,89122.00000000,89135.42000000,4.12656000,,,,,,89141.08,89141.08,89122,89135.46,0.36736993,89136.9,89137,89121.6,89132,297374.22924520,89130.0,89130.0,89129.9,89129.9,0.00381377
2025-12-07 10:06,89152.79,89152.79,89116.32,89120.56,0.59198054,89135.42000000,89135.43000000,89106.61000000,89109.80000000,3.20082000,,,,,,89135.46,89135.46,89106.44,89109.8,4.75815608,89131.9,89132,89110,89111,288492.58884340,89130.0,89130.0,89130.0,89130.0,0.0004315
2025-12-07 10:07,89119.91,89164.39,89113.63,89164.38,1.55608859,89109.81000000,89146.76000000,89103.97000000,89146.76000000,3.37387000,89181.0,89181.0,89181.0,89181.0,0.00111839,89109.8,89146.75,89103.97,89146.75,2.32557569,89111,89142.7,89108,89142.7,268828.63434710,89129.9,89129.9,89125.0,89125.0,0.0201982
2025-12-07 10:08,89164.39,89164.39,89150.88,89160.03,0.37568214,89146.76000000,89148.09000000,89134.73000000,89148.08000000,2.56079000,89202.0,89202.0,89202.0,89202.0,0.00066,89146.75,89148.1,89133.35,89148.08,1.82621732,89142.7,89142.7,89142.6,89142.7,266377.98379690,89125.1,89125.1,89125.0,89125.0,0.02183539
2025-12-07 10:09,89162.92,89170.77,89158.01,89170.77,0.16701398,89148.09000000,89159.65000000,89148.08000000,89159.64000000,1.66444000,,,,,,89148.08,89159.65,89148.08,89159.64,1.15164582,89142.7,89155.4,89142.7,89155.4,201301.73227650,89125.1,89125.1,89125.1,89125.1,0.04095236
