time,open,high,low,close,volume
2025-12-01 10:00:00,86704.85000000,86770.43000000,86704.85000000,86770.43000000,7.18903000
2025-12-01 10:01:00,86770.43000000,86804.81000000,86770.42000000,86774.69000000,3.81894000
2025-12-01 10:02:00,86774.68000000,86782.80000000,86756.00000000,86770.65000000,4.05534000
2025-12-01 10:03:00,86770.64000000,86787.91000000,86740.01000000,86761.29000000,4.39704000
2025-12-01 10:04:00,86761.28000000,86761.28000000,86716.03000000,86717.52000000,14.65458000
2025-12-01 10:05:00,86720.00000000,86787.19000000,86708.02000000,86787.18000000,9.24386000
2025-12-01 10:06:00,86787.18000000,86801.41000000,86764.23000000,86764.24000000,5.09218000
2025-12-01 10:07:00,86764.23000000,86813.84000000,86764.23000000,86813.84000000,3.77623000
2025-12-01 10:08:00,86813.84000000,86814.00000000,86796.54000000,86799.58000000,3.89237000
2025-12-01 10:09:00,86799.59000000,86799.59000000,86742.61000000,86757.95000000,5.31231000
2025-12-01 10:10:00,86757.94000000,86764.14000000,86735.52000000,86749.87000000,4.81278000
2025-12-01 10:11:00,86749.87000000,86757.36000000,86737.36000000,86737.36000000,4.40584000
2025-12-01 10:12:00,86737.35000000,86769.66000000,86728.74000000,86752.15000000,3.67383000
2025-12-01 10:13:00,86752.16000000,86752.16000000,86726.32000000,86726.32000000,2.86845000
2025-12-01 10:14:00,86726.33000000,86745.58000000,86666.16000000,86675.44000000,7.50913000
2025-12-01 10:15:00,86675.45000000,86691.88000000,86642.54000000,86662.57000000,17.32031000
2025-12-01 10:16:00,86662.57000000,86662.57000000,86630.00000000,86630.00000000,4.29786000
2025-12-01 10:17:00,86630.00000000,86642.53000000,86624.30000000,86634.35000000,9.62994000
2025-12-01 10:18:00,86634.34000000,86640.00000000,86621.01000000,86638.94000000,6.62432000
2025-12-01 10:19:00,86638.93000000,86680.00000000,86628.00000000,86680.00000000,5.50758000
2025-12-01 10:20:00,86680.00000000,86680.00000000,86630.00000000,86635.45000000,6.38327000
2025-12-01 10:21:00,86635.44000000,86649.98000000,86621.02000000,86621.02000000,2.24066000
2025-12-01 10:22:00,86621.03000000,86637.70000000,86616.62000000,86637.70000000,2.44160000
2025-12-01 10:23:00,86637.70000000,86655.32000000,86637.69000000,86644.65000000,4.82345000
2025-12-01 10:24:00,86644.66000000,86648.40000000,86638.20000000,86648.40000000,1.58297000
2025-12-01 10:25:00,86648.39000000,86648.40000000,86600.00000000,86604.51000000,7.00014000
2025-12-01 10:26:00,86604.51000000,86630.00000000,86572.60000000,86587.05000000,28.83595000
2025-12-01 10:27:00,86587.06000000,86587.06000000,86567.93000000,86567.93000000,2.66791000
2025-12-01 10:28:00,86567.94000000,86581.95000000,86552.00000000,86581.94000000,5.49916000
2025-12-01 10:29:00,86581.94000000,86596.34000000,86581.93000000,86596.11000000,4.04641000
2025-12-01 10:30:00,86596.12000000,86626.01000000,86596.07000000,86626.01000000,2.20272000
2025-12-01 10:31:00,86626.00000000,86665.30000000,86626.00000000,86654.13000000,7.34538000
2025-12-01 10:32:00,86654.14000000,86654.14000000,86642.50000000,86642.51000000,5.03567000
2025-12-01 10:33:00,86642.51000000,86642.51000000,86585.40000000,86585.40000000,4.82078000
2025-12-01 10:34:00,86585.40000000,86600.05000000,86555.19000000,86600.04000000,9.39038000
2025-12-01 10:35:00,86600.05000000,86639.92000000,86588.78000000,86639.91000000,10.09214000
2025-12-01 10:36:00,86639.91000000,86639.92000000,86624.31000000,86624.31000000,3.46062000
2025-12-01 10:37:00,86624.31000000,86639.49000000,86608.01000000,86639.48000000,7.15887000
2025-12-01 10:38:00,86639.49000000,86643.46000000,86617.68000000,86643.46000000,4.09023000
2025-12-01 10:39:00,86643.46000000,86643.46000000,86600.00000000,86633.73000000,10.96407000
2025-12-01 10:40:00,86633.72000000,86633.73000000,86608.53000000,86608.53000000,3.23215000
2025-12-01 10:41:00,86608.53000000,86612.94000000,86574.63000000,86612.93000000,3.52334000
2025-12-01 10:42:00,86612.94000000,86633.72000000,86612.94000000,86633.71000000,1.90807000
2025-12-01 10:43:00,86633.71000000,86633.72000000,86596.37000000,86596.38000000,5.31692000
2025-12-01 10:44:00,86596.38000000,86624.00000000,86596.38000000,86624.00000000,3.35170000
2025-12-01 10:45:00,86624.00000000,86662.14000000,86624.00000000,86631.61000000,8.81334000
2025-12-01 10:46:00,86631.60000000,86680.01000000,86631.60000000,86668.61000000,4.55806000
2025-12-01 10:47:00,86668.61000000,86686.92000000,86668.60000000,86686.92000000,2.85627000
2025-12-01 10:48:00,86686.92000000,86700.00000000,86652.02000000,86652.03000000,6.28262000
2025-12-01 10:49:00,86652.02000000,86660.01000000,86648.00000000,86660.01000000,3.40531000
2025-12-01 10:50:00,86660.01000000,86660.70000000,86660.00000000,86660.70000000,3.62856000
2025-12-01 10:51:00,86660.69000000,86660.70000000,86635.47000000,86635.47000000,5.50093000
