time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume,min_close,max_close,buy_exchange,sell_exchange,spread_close_absolute,spread_close_pct,is_opportunity,is_opportunity_flag,is_real_opportunity,num_exchanges_available,volume_buy_exchange,volume_sell_exchange,min_volume,volume_ratio,max_high,min_low,high_exchange,low_exchange,spread_highlow_absolute,spread_highlow_pct,opportunity_gap,hour,minute,day_of_week,is_weekend,overlap_hours,BINANCE_volatility,BITFINEX_volatility,COINBASE_volatility,volatility_avg,volatility_max,volatility_min,price_position_buy_exchange,price_position_sell_exchange,BINANCE_price_change,BITFINEX_price_change,COINBASE_price_change,price_change_buy_exchange,price_change_sell_exchange,spread_rolling_std_5,spread_rolling_max_5,spread_rolling_min_5,volume_buy_rolling_std_5,volume_sell_rolling_std_5,spread_range_5,spread_zscore_5,spread_rolling_std_15,spread_rolling_max_15,spread_rolling_min_15,volume_buy_rolling_std_15,volume_sell_rolling_std_15,spread_range_15,spread_zscore_15,spread_rolling_std_30,spread_rolling_max_30,spread_rolling_min_30,volume_buy_rolling_std_30,volume_sell_rolling_std_30,spread_range_30,spread_zscore_30,spread_ma_5,spread_ema_5,volume_ma_buy_5,volume_ma_sell_5,spread_ma_15,spread_ema_15,volume_ma_buy_15,volume_ma_sell_15,spread_ma_30,spread_ema_30,volume_ma_buy_30,volume_ma_sell_30,spread_bb_upper_5,spread_bb_lower_5,spread_bb_position_5,spread_bb_upper_15,spread_bb_lower_15,spread_bb_position_15,spread_bb_upper_30,spread_bb_lower_30,spread_bb_position_30,spread_rate_change,spread_rate_change_pct,spread_rate_acceleration,price_ratio_buy_sell,price_ratio_BINANCE_BITFINEX,price_ratio_BINANCE_COINBASE,price_ratio_BITFINEX_COINBASE,avg_price_ratio,max_price_ratio,min_price_ratio,price_ratio_std,spread_lag_1,volume_buy_lag_1,volume_sell_lag_1,min_volume_lag_1,is_opportunity_lag_1,is_real_opportunity_lag_1,price_change_buy_lag_1,price_change_sell_lag_1,volatility_avg_lag_1,spread_lag_5,volume_buy_lag_5,volume_sell_lag_5,min_volume_lag_5,is_opportunity_lag_5,is_real_opportunity_lag_5,price_change_buy_lag_5,price_change_sell_lag_5,volatility_avg_lag_5,spread_lag_10,volume_buy_lag_10,volume_sell_lag_10,min_volume_lag_10,is_opportunity_lag_10,is_real_opportunity_lag_10,price_change_buy_lag_10,price_change_sell_lag_10,volatility_avg_lag_10,spread_lag_30,volume_buy_lag_30,volume_sell_lag_30,min_volume_lag_30,is_opportunity_lag_30,is_real_opportunity_lag_30,price_change_buy_lag_30,price_change_sell_lag_30,volatility_avg_lag_30,buy_exchange_lag_1,sell_exchange_lag_1,spread_diff_from_lag_1,volume_diff_from_lag_1,spread_diff_from_lag_5,volume_diff_from_lag_5
2022-03-04 10:00:00,0.1272,0.1273,0.1272,0.1273,21574.6,0.1272,0.1273,0.1271,0.1272,44064.0,0.1273,0.1273,0.1273,0.1273,204.90501627,0.1272,0.1273,BINANCE,BITFINEX,9.999999999998899e-05,0.0786163522012492,0,0,0,3,44064.0,204.90501627,204.90501627,0.0046501683067810455,0.1273,0.1271,BINANCE,BINANCE,0.00020000000000000573,0.15735641227380467,0.07874006007255548,10,0,4,0,0,0.1572327044025202,0.0,0.07855459544382482,0.07859576661544834,0.1572327044025202,0.0,0.5000000000000694,,0.0,0.0,0.0786163522012492,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,0.0786163522012492,44064.0,204.90501627,,0.0786163522012492,44064.0,204.90501627,,0.0786163522012492,44064.0,204.90501627,,,,,,,,,,,,,1.0007861635220126,1.0007861635220126,1.0007861635220126,1.0,1.000524109014675,1.0007861635220126,1.0,0.00045389172106101043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-04 10:01:00,0.1272,0.1273,0.1271,0.1272,2215.7,0.1273,0.1273,0.1271,0.1271,61245.0,,,,,,0.1271,0.1272,BINANCE,COINBASE,0.00010000000000001674,0.07867820613691325,0,0,0,2,61245.0,2215.7,2215.7,0.036177647154869784,0.1273,0.1271,BINANCE,BINANCE,0.00020000000000000573,0.15735641227380467,0.07867820613689143,10,1,4,0,0,0.15735641227380467,,0.1572327044025202,0.15729455833816244,0.15735641227380467,0.1572327044025202,0.0,0.5000000000000694,-0.15710919088767142,,0.0,-0.15710919088767142,0.0,,,,8590.5,9679.449999999999,,,,,,8590.5,9679.449999999999,,,,,,8590.5,9679.449999999999,,,,0.0786369701798039,52654.5,11895.15,,0.0786240839432072,52654.5,11895.15,,0.07862034277774366,52654.5,11895.15,,,,,,,,,,6.185393566404684e-05,,,1.0007867820613692,,1.0007867820613692,,1.0007867820613692,1.0007867820613692,1.0007867820613692,,0.0786163522012492,44064.0,204.90501627,204.90501627,0.0,0.0,0.0,0.0,0.07859576661544834,,,,,,,,,,,,,,,,,,,,,,,,,,,,BINANCE,BITFINEX,6.185393566404684e-05,2010.7949837299998,,
2022-03-04 10:02:00,0.1271,0.1273,0.1271,0.1273,179143.1,0.1272,0.1274,0.1271,0.1273,258317.0,,,,,,0.1273,0.1273,BINANCE,BINANCE,0.0,0.0,0,0,0,2,258317.0,258317.0,258317.0,1.0,0.1274,0.1271,BINANCE,BINANCE,0.00030000000000002247,0.23603461841071793,0.23603461841071793,10,2,4,0,0,0.23566378633151805,,0.15710919088767142,0.19638648860959473,0.23566378633151805,0.15710919088767142,0.6666666666666359,0.6666666666666359,0.0786163522012492,,0.15735641227380467,0.0786163522012492,0.0786163522012492,,,,97203.62816388193,97203.62816388193,,,,,,97203.62816388193,97203.62816388193,,,,,,97203.62816388193,97203.62816388193,,,,0.05242464678653594,121208.66666666667,121208.66666666667,,0.0687960734503063,121208.66666666667,121208.66666666667,,0.0735480625985344,121208.66666666667,121208.66666666667,,,,,,,,,,-0.07867820613691325,,-0.07874006007257729,1.0,,1.0,,1.0,1.0,1.0,,0.07867820613691325,61245.0,2215.7,2215.7,0.0,0.0,-0.15710919088767142,0.0,0.15729455833816244,,,,,,,,,,,,,,,,,,,,,,,,,,,,BINANCE,COINBASE,-0.07867820613691325,256101.3,,
2022-03-04 10:03:00,0.1273,0.1274,0.1273,0.1274,42016.9,0.1274,0.1275,0.1273,0.1275,65210.0,0.12742,0.12742,0.12742,0.12742,8.19242883,0.1274,0.1275,COINBASE,BINANCE,9.999999999998899e-05,0.07849293563578412,0,0,0,3,42016.9,65210.0,42016.9,1.5519945545720888,0.1275,0.1273,BINANCE,BINANCE,0.00020000000000000573,0.15710919088767142,0.0786162552518873,10,3,4,0,0,0.1568627450980437,0.0,0.07849293563580591,0.07845189357794986,0.1568627450980437,0.0,1.0,1.0,0.07849293563578412,0.0,0.07855459544384662,0.07855459544384662,0.07849293563578412,,,,69512.37387571277,87603.54442886429,,,,,,69512.37387571277,87603.54442886429,,,,,,69512.37387571277,87603.54442886429,,,,0.061114076402952,61237.575,107209.0,,0.07000818122349103,61237.575,107209.0,,0.07386708666545375,61237.575,107209.0,,,,,,,,,,0.07849293563578412,,0.15717114177269736,1.0007849293563578,0.9993725490196078,0.9992156862745099,0.999843038769424,0.9994770913545139,0.999843038769424,0.9992156862745099,0.00032648064729701425,0.0,258317.0,258317.0,258317.0,0.0,0.0,0.0786163522012492,0.0786163522012492,0.19638648860959473,,,,,,,,,,,,,,,,,,,,,,,,,,,,BINANCE,BINANCE,0.07849293563578412,-216300.1,,
2022-03-04 10:04:00,0.1275,0.1275,0.1273,0.1275,49652.6,0.1275,0.1275,0.1273,0.1275,541685.0,,,,,,0.1275,0.1275,BINANCE,BINANCE,0.0,0.0,0,0,0,2,541685.0,541685.0,541685.0,1.0,0.1275,0.1273,BINANCE,BINANCE,0.00020000000000000573,0.15710919088767142,0.15710919088767142,10,4,4,0,0,0.1568627450980437,,0.1568627450980437,0.1568627450980437,0.1568627450980437,0.1568627450980437,1.0,1.0,0.0,,0.0,0.0,0.0,0.0430487614112591,0.07867820613691325,0.0,190637.37285579657,190637.37285579657,0.07867820613691325,,,,,190637.37285579657,190637.37285579657,,,,,,190637.37285579657,190637.37285579657,,,0.04715749879478931,0.04074271760196801,194104.2,194104.2,,0.06125715857055465,194104.2,194104.2,,0.06910146817090834,194104.2,194104.2,0.1332550216173075,-0.03894002402772889,,,,,,,,-0.07849293563578412,,-0.15698587127156824,1.0,,1.0,,1.0,1.0,1.0,,0.07849293563578412,42016.9,65210.0,42016.9,0.0,0.0,0.07855459544384662,0.07849293563578412,0.07845189357794986,,,,,,,,,,,,,,,,,,,,,,,,,,,,COINBASE,BINANCE,-0.07849293563578412,499668.1,,
2022-03-04 10:05:00,0.1274,0.1275,0.1273,0.1275,21907.6,0.1274,0.1275,0.1273,0.1275,193701.0,,,,,,0.1275,0.1275,BINANCE,BINANCE,0.0,0.0,0,0,0,2,193701.0,193701.0,193701.0,1.0,0.1275,0.1273,BINANCE,BINANCE,0.00020000000000000573,0.15710919088767142,0.15710919088767142,10,5,4,0,0,0.1568627450980437,,0.1568627450980437,0.1568627450980437,0.1568627450980437,0.1568627450980437,1.0,1.0,0.07849293563578412,,0.07849293563578412,0.07849293563578412,0.07849293563578412,0.043043139710119,0.07867820613691325,0.0,175910.7127193793,175910.7127193793,0.07867820613691325,,,,,174027.3805669671,174027.3805669671,,,,,,174027.3805669671,174027.3805669671,,,0.031434228354539476,0.027161811734645342,224031.6,224031.6,,0.05360001374923532,194037.0,194037.0,,0.06464330893407555,194037.0,194037.0,0.11752050777477747,-0.05465205106569852,,,,,,,,0.0,,0.07849293563578412,1.0,,1.0,,1.0,1.0,1.0,,0.0,541685.0,541685.0,541685.0,0.0,0.0,0.0,0.0,0.1568627450980437,0.0786163522012492,44064.0,204.90501627,204.90501627,0.0,0.0,0.0,0.0,0.07859576661544834,,,,,,,,,,,,,,,,,,,BINANCE,BINANCE,0.0,-347984.0,-0.0786163522012492,193496.09498373
2022-03-04 10:06:00,0.1274,0.1275,0.1273,0.1274,9690.9,0.1274,0.1275,0.1273,0.1275,117765.0,,,,,,0.1274,0.1275,COINBASE,BINANCE,9.999999999998899e-05,0.07849293563578412,0,0,0,2,9690.9,117765.0,9690.9,12.152122093923165,0.1275,0.1273,BINANCE,BINANCE,0.00020000000000000573,0.15710919088767142,0.0786162552518873,10,6,4,0,0,0.1568627450980437,,0.15698587127159003,0.15692430818481687,0.15698587127159003,0.1568627450980437,0.5000000000000694,1.0,0.07849293563578412,,0.0,0.0,0.07849293563578412,0.04299235145252006,0.07849293563578412,0.0,61002.3157755638,166659.59636528586,0.07849293563578412,,,,,56272.58853362165,163313.6917512692,,,,,,56272.58853362165,163313.6917512692,,,0.031397174254313646,0.044272186368358266,60482.219999999994,235335.6,,0.05671162898505392,46600.2,183141.0,,0.06553683323741159,46600.2,183141.0,0.11738187715935378,-0.054587528650726476,,,,,,,,0.07849293563578412,,0.07849293563578412,1.0007849293563578,,0.9992156862745099,,0.9992156862745099,0.9992156862745099,0.9992156862745099,,0.0,193701.0,193701.0,193701.0,0.0,0.0,0.07849293563578412,0.07849293563578412,0.1568627450980437,0.07867820613691325,61245.0,2215.7,2215.7,0.0,0.0,-0.15710919088767142,0.0,0.15729455833816244,,,,,,,,,,,,,,,,,,,BINANCE,BINANCE,0.07849293563578412,-184010.1,-0.00018527050112912558,7475.2
2022-03-04 10:07:00,0.1274,0.1275,0.1273,0.1275,127.2,0.1274,0.1275,0.1274,0.1275,30575.0,,,,,,0.1275,0.1275,BINANCE,BINANCE,0.0,0.0,0,0,0,2,30575.0,30575.0,30575.0,1.0,0.1275,0.1273,BINANCE,COINBASE,0.00020000000000000573,0.15710919088767142,0.15710919088767142,10,7,4,0,0,0.07843137254901096,,0.1568627450980437,0.11764705882352733,0.1568627450980437,0.07843137254901096,1.0,1.0,0.07849293563578412,,0.07849293563578412,0.07849293563578412,0.07849293563578412,0.04299235145252006,0.07849293563578412,0.0,184338.0482465842,184338.0482465842,0.07849293563578412,,,,,160882.86488370196,160882.86488370196,,,,,,160882.86488370196,160882.86488370196,,,0.031397174254313646,0.029514790912238846,189787.2,189787.2,,0.04962267536192218,164070.25,164070.25,,0.061308650447901174,164070.25,164070.25,0.11738187715935378,-0.054587528650726476,,,,,,,,-0.07849293563578412,,-0.15698587127156824,1.0,,1.0,,1.0,1.0,1.0,,0.07849293563578412,9690.9,117765.0,9690.9,0.0,0.0,0.0,0.07849293563578412,0.15692430818481687,0.0,258317.0,258317.0,258317.0,0.0,0.0,0.0786163522012492,0.0786163522012492,0.19638648860959473,,,,,,,,,,,,,,,,,,,COINBASE,BINANCE,-0.07849293563578412,20884.1,0.0,-227742.0
2022-03-04 10:08:00,0.1275,0.1275,0.1274,0.1274,40208.6,0.1274,0.1275,0.1274,0.1274,88946.0,,,,,,0.1274,0.1274,BINANCE,BINANCE,0.0,0.0,0,0,0,2,88946.0,88946.0,88946.0,1.0,0.1275,0.1274,BINANCE,BINANCE,9.999999999998899e-05,0.07849293563578412,0.07849293563578412,10,8,4,0,0,0.07849293563578412,,0.07849293563578412,0.07849293563578412,0.07849293563578412,0.07849293563578412,0.0,0.0,0.0,,-0.07843137254901096,0.0,0.0,0.03510310796702579,0.07849293563578412,0.0,181350.14170118532,181350.14170118532,0.07849293563578412,,,,,153508.21552205418,153508.21552205418,,,,,,153508.21552205418,153508.21552205418,,,0.015698587127156823,0.0196765272748259,194534.4,194534.4,,0.04341984094168191,155723.11111111112,155723.11111111112,,0.05735325364481078,155723.11111111112,155723.11111111112,0.0859048030612084,-0.05450762880689475,,,,,,,,0.0,,0.07849293563578412,1.0,,1.0,,1.0,1.0,1.0,,0.0,30575.0,30575.0,30575.0,0.0,0.0,0.07849293563578412,0.07849293563578412,0.11764705882352733,0.07849293563578412,42016.9,65210.0,42016.9,0.0,0.0,0.07855459544384662,0.07849293563578412,0.07845189357794986,,,,,,,,,,,,,,,,,,,BINANCE,BINANCE,0.0,58371.0,-0.07849293563578412,46929.1
2022-03-04 10:09:00,0.1274,0.1275,0.1273,0.1274,80985.5,0.1274,0.1275,0.1273,0.1273,130999.0,,,,,,0.1273,0.1274,BINANCE,COINBASE,0.00010000000000001674,0.07855459544384662,0,0,0,2,130999.0,80985.5,80985.5,0.6182146428598692,0.1275,0.1273,BINANCE,BINANCE,0.00020000000000000573,0.15710919088767142,0.0785545954438248,10,9,4,0,0,0.15710919088767142,,0.15698587127159003,0.1570475310796307,0.15710919088767142,0.15698587127159003,0.0,0.5000000000000694,-0.07849293563580591,,0.0,-0.07849293563580591,0.0,0.04300924321128029,0.07855459544384662,0.0,53347.87592547617,28538.964025388166,0.07855459544384662,,,,,145819.44438177647,50512.39672072689,,,,,,145819.44438177647,50512.39672072689,,,0.03140950621592615,0.03930254999783281,112397.2,30583.96,,0.0478116852544525,153250.7,44752.27,,0.05872108214797439,153250.7,44752.27,0.11742799263848672,-0.054608980206634426,,,,,,,,0.07855459544384662,,0.07855459544384662,1.0007855459544384,,1.0007855459544384,,1.0007855459544384,1.0007855459544384,1.0007855459544384,,0.0,88946.0,88946.0,88946.0,0.0,0.0,0.0,0.0,0.07849293563578412,0.0,541685.0,541685.0,541685.0,0.0,0.0,0.0,0.0,0.1568627450980437,,,,,,,,,,,,,,,,,,,BINANCE,BINANCE,0.07855459544384662,-7960.5,0.07855459544384662,-460699.5
